ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Drink
2010-12-01 08:26:00,23.410514,-50.56820401147444,125.35127695594028,23.410514,23.410514,12.560436049108976,12.560436049108976,12.560436049108976,16.781885871406953,16.781885871406953,16.781885871406953,-4.221449822297992,-4.221449822297992,-4.221449822297992,0.0,0.0,0.0,35.97095004910898,Iced Matcha Latte
2010-12-01 09:02:00,23.41251380282231,-61.60484066288242,125.14547494285996,23.41251380282231,23.41251380282231,7.787425633597886,7.787425633597886,7.787425633597886,12.135915475560143,12.135915475560143,12.135915475560143,-4.348489841962253,-4.348489841962253,-4.348489841962253,0.0,0.0,0.0,31.199939436420195,Iced Matcha Latte
2010-12-01 09:32:00,23.414180305174234,-71.02589367765091,113.94461834419283,23.414180305174234,23.414180305174234,0.5452289011873477,0.5452289011873477,0.5452289011873477,4.9818325998277375,4.9818325998277375,4.9818325998277375,-4.436603698640392,-4.436603698640392,-4.436603698640392,0.0,0.0,0.0,23.95940920636158,Iced Matcha Latte
2010-12-01 10:19:00,23.41679115885892,-71.66479674333873,114.68571233141918,23.41679115885892,23.41679115885892,-8.58686484379417,-8.58686484379417,-8.58686484379417,-4.044541659849003,-4.044541659849003,-4.044541659849003,-4.5423231839451645,-4.5423231839451645,-4.5423231839451645,0.0,0.0,0.0,14.82992631506475,Iced Matcha Latte
2010-12-01 10:39:00,23.41790216042687,-80.59495995493306,102.93155601871992,23.41790216042687,23.41790216042687,-10.387718683378747,-10.387718683378747,-10.387718683378747,-5.81229716806384,-5.81229716806384,-5.81229716806384,-4.57542151531491,-4.57542151531491,-4.57542151531491,0.0,0.0,0.0,13.030183477048123,Iced Matcha Latte
2010-12-01 10:51:00,23.41856876136764,-82.8241688821761,99.11631445483258,23.41856876136764,23.41856876136764,-10.836538802398696,-10.836538802398696,-10.836538802398696,-6.244638590341866,-6.244638590341866,-6.244638590341866,-4.591900212056819,-4.591900212056819,-4.591900212056819,0.0,0.0,0.0,12.582029958968945,Iced Matcha Latte
2010-12-01 11:21:00,23.420235263719565,-80.51486087343095,108.57037016221155,23.420235263719565,23.420235263719565,-10.312807806198574,-10.312807806198574,-10.312807806198574,-5.6907140844992865,-5.6907140844992865,-5.6907140844992865,-4.62209372169929,-4.62209372169929,-4.62209372169929,0.0,0.0,0.0,13.107427457520991,Iced Matcha Latte
2010-12-01 11:33:00,23.420901864660337,-80.47163786844487,106.64594923743014,23.420901864660337,23.420901864660337,-9.663419234205568,-9.663419234205568,-9.663419234205568,-5.033613979042017,-5.033613979042017,-5.033613979042017,-4.629805255163539,-4.629805255163539,-4.629805255163539,0.0,0.0,0.0,13.757482630454769,Iced Matcha Latte
2010-12-01 12:36:00,23.42440151959938,-71.83281345028428,110.28002063698045,23.42440151959938,23.42440151959938,-6.292303462953528,-6.292303462953528,-6.292303462953528,-1.6621661459105175,-1.6621661459105175,-1.6621661459105175,-4.6301373170430145,-4.6301373170430145,-4.6301373170430145,0.0,0.0,0.0,17.13209805664585,Iced Matcha Latte
2010-12-01 12:43:00,23.424790370148163,-75.56244124009403,110.20713796157119,23.424790370148163,23.424790370148163,-6.167981921338785,-6.167981921338785,-6.167981921338785,-1.541898946276898,-1.541898946276898,-1.541898946276898,-4.62608297506189,-4.62608297506189,-4.62608297506189,0.0,0.0,0.0,17.256808448809377,Iced Matcha Latte
